3550;495;50035;(AFOROS)OPORTO E-O(PORTALEGRE-ELVAS);438599,042006;4471016,470000
3551;495;50036;(TACTICO) NAVAHONDA;439392,438959;4471823,541118
3553;495;48092;(TACTICO) JAIME III O-E;438190,719624;4473549,686681
3554;495;32303;C.B.ARGIBAY (32020-32030.(320301);439796,035004;4480457,964266
3555;495;32902;MICRO-INTERNO (ENTRE GRUPO 10 Y 12);439778,459648;4480435,034433
3547;495;97401;Cartagena Sent. Norte - Coslada - Av. América;443033,030516;4476864,703177
3534;495;24034;N.S.VALVANERA (LAGUNA Y VIA CARPETANA GIRO VI;437180,729177;4471900,255024
3535;495;24035;N.S.VALVANERA (A.PAVAS Y VIA CARPETANA GIRO V;437273,951770;4471808,932083
3536;494;PM30471;PM30471;444242,124440;4477193,161176
3537;494;PM10003;PM10003;442902,008005;4481836,849904
3538;494;PM20442;PM20442;444116,070673;4477711,639854
3539;494;PM30462;PM30462;444220,464637;4477473,293421
3542;494;04FT14PM01;04FT14PM01;437979,391132;4474116,108997
3544;494;04FL12PM01;04FL12PM01;437947,355014;4474112,107845
3545;494;04FL92PM01;04FL92PM01;437229,222499;4473702,572626
3546;494;18RV21PM01;18RV21PM01;437237,980953;4473723,895760
3395;495;23011;-;439930,019986;4477364,150176
3396;495;23012;-;439321,657703;4476969,036952
3397;495;23013;-;439582,830081;4476935,039788
3398;495;34020;CORAZON DE MARIA S-N - SANTA HORTENSIA-SANTA RITA;443536,487791;4477504,956715
3399;495;34021;CORAZON DE MARIA, 33 N-S - SANTA RITA-SANTA HORTENSIA;443534,099085;4477557,249663
3400;495;34022;CLARA DEL REY, 23 N-S - SANTA RITA-SANTA HORTENSIA;443436,751503;4477614,025875
3401;495;90045;-;440141,411521;4474134,707958
3402;495;91001;-;442576,069004;4480724,018792
3403;495;37022;SESEÑA ENTRE ILLESCAS Y ACC. N-V;435292,553547;4472415,993333
3404;495;38014;FRAMBUESA ENTRADA CRUCE  E-O;436370,918794;4469723,044805
3405;495;38038;AV.DE LOS POBLADOS ENTRE ALISEDA Y AV. EURO;437196,367990;4469678,175211
3406;495;39043;CTO.VICTORIA E-O(ISAB.USERA-S.BASILIO);440081,410480;4470288,324206
3407;495;21009;-;440980,494968;4476061,966148
3408;495;32016;AV. BETANZOS N-S - BAÑEZA-MELCHOR FERNANDEZ ALMAGRO;439790,010894;4481059,182305
3409;495;24001;SEPÚLVEDA ENTRADA CRUCE  N-S;436114,518617;4472796,772646
3410;495;48012;Pº ERMITA SANTO S-N;438676,176848;4474046,163794
3411;495;97028;Av. Pablo Iglesias - S-N  - San Fco. Sales - Reina Victoria;440114,676222;4477729,878815
3412;495;97035;Av. Federico Rubio S-N  - Pablo Iglesias  - Almansa;440039,948746;4477992,982217
3413;495;97036;Av. Federico Rubio N-S  - Aranjuez - Almansa;439949,529631;4478175,941499
3414;495;35035;AV. BONN E-O - (AV. DE LA PAZ-AV. BRASILIA);444151,140035;4476854,275191
3415;495;35036;BRASILIA N-S - (AV. BONN-BRESCIA);444033,789096;4476731,726085
3416;495;35037;BRASILIA S-N - (BRESCIA-AV. BONN);444046,505427;4476684,131946
3417;495;90001;-;439321,838450;4473206,346038
3418;495;90002;-;439427,571165;4473172,997283
3419;495;28045;(TACTICO) VALLE PAS O-E;434184,980820;4478158,107777
3420;495;39018;EDUARD.BARREIROS S-N(PINSAPO-AV.ROSALES);440993,543056;4469071,519971
3421;495;60001;BRAVO MURILLO E-O - (PL. CASTILLA-CONDE SERRALLO);441562,804884;4479885,328758
3422;495;60002;Pº CASTELLANA N-S - (SAN BENITO-PL.CASTILLA);441676,992076;4480105,842275
3423;495;60003;LATERAL PASEO DE LA CASTELLANA - (PL. CASTILLA-ROSARIO PINO);441604,914868;4479563,047544
3424;495;63001;BRAVO MURILLO N-S - (FULGENCIO MIGUEL-FRANCOS RODRIGUEZ);440517,940016;4478678,836475
3425;495;63002;BRAVO MURILLO N-S - (NAVARRA-CASTILLA);440492,934821;4478505,204534
3426;495;63003;BRAVO MURILLO N-S - (CASTILLA-SAN RAIMUNDO);440483,857952;4478436,822172
3427;495;63004;BRAVO MURILLO N-S - (SAN RAIMUNDO-CAROLINA);440469,022198;4478312,221456
3428;495;41040;Av. Rafael Alberti - Av. Albufera-Luis Buñuel;445696,266394;4471055,416038
3429;495;41401;C/. Sierra de Javalambre  - Francisco Iglesias-Av. Albufera;443454,660344;4472320,580239
