PM20152|2013|01|01|1065|9|48|M|73|N|4|28079004
PM20152|2013|01|02|1065|9|49|M|73|N|4|28079004
PM20152|2013|01|03|1065|9|40|M|73|N|4|28079004
PM20152|2013|01|04|1065|9|28|M|73|N|4|28079004
PM20152|2013|01|05|1065|9|30|M|73|N|4|28079004
PM20152|2013|01|06|1065|9|33|M|73|N|4|28079004
PM20152|2013|01|07|1065|9|44|M|73|N|4|28079004
PM20152|2013|01|08|1065|9|48|M|73|N|4|28079004
PM20152|2013|01|09|1065|9|50|M|73|N|4|28079004
PM20152|2013|01|10|1065|9|33|M|73|N|4|28079004
PM20152|2013|01|11|1065|9|44|M|73|N|4|28079004
PM20152|2013|01|12|1065|9|43|M|73|N|4|28079004
PM20152|2013|01|13|1065|9|46|M|73|N|4|28079004
PM20152|2013|01|14|1065|9|48|M|73|N|4|28079004
PM20152|2013|01|15|1065|9|43|M|73|N|4|28079004
PM20152|2013|01|16|1065|9|42|M|73|N|4|28079004
PM20152|2013|01|17|1065|9|50|M|73|N|4|28079004
PM20152|2013|01|18|1065|9|44|M|73|N|4|28079004
PM20152|2013|01|19|1065|9|33|M|73|N|4|28079004
PM20152|2013|01|20|1065|9|44|M|73|N|4|28079004
PM20152|2013|01|21|1065|9|55|M|73|N|4|28079004
PM20152|2013|01|22|1065|9|48|M|73|N|4|28079004
PM20152|2013|01|23|1065|9|45|M|73|N|4|28079004
PM20152|2013|01|24|1065|9|40|M|73|N|4|28079004
PM20152|2013|01|25|1065|9|44|M|73|N|4|28079004
PM20152|2013|01|26|1065|9|33|M|73|N|4|28079004
PM20152|2013|01|27|1065|9|38|M|73|N|4|28079004
PM20152|2013|01|28|1065|9|49|M|73|N|4|28079004
PM20152|2013|01|29|1065|9|30|M|73|N|4|28079004
PM20152|2013|01|30|1065|9|43|M|73|N|4|28079004
